OP | REF | HYP
SUB | know | don't
SUB | from | found
OK | the | the
OK | reading | reading
OK | guide | guide
OK | epictetus | epictetus
OK | lived | lived
SUB | at | add
OK | the | the
OK | beginning | beginning
SUB | of | called
SUB | two | to
SUB | millennia | millennium
SUB | ago | go
OK | he | he
INS | **** | made
SUB | lived | latin
SUB | roughly | the
OK | from | from
INS | **** | the
INS | **** | if
SUB | 50 | key
OK | to | to
INS | **** | one
SUB | 130 | thirty
OK | in | in
OK | the | the
OK | common | common
SUB | era | ella
OK | he | he
OK | was | was
OK | born | born
INS | **** | it
INS | **** | mean
SUB | in | greek
SUB | greek-speaking | speaking
OK | asia | asia
OK | minor | minor
OK | and | and
INS | **** | was
SUB | spent | that
SUB | his | spent
OK | life | life
OK | living | living
SUB | in | ii
OK | the | the
OK | roman | roman
OK | empire | empire
OK | during | during
OK | that | that
OK | era | era
DEL | he | ****
DEL | spent | ****
DEL | the | ****
SUB | early | only
OK | portion | portion
SUB | of | all
OK | his | his
DEL | life | ****
SUB | as | white
SUB | a | has
OK | slave | slave
SUB | there's | years
OK | some | some
SUB | dissent | decide
OK | as | as
OK | to | to
OK | whether | whether
DEL | he | ****
DEL | spent | ****
DEL | it | ****
SUB | until | tell
OK | the | the
SUB | age | h
OK | of | of
SUB | thirteen | team
SUB | or | war
OK | until | until
OK | the | the
OK | age | age
OK | of | of
SUB | twenty-seven | twenty
SUB | but | seven
SUB | in | by
SUB | any | dan
SUB | case | indicates
SUB | a | us
SUB | significant | underpin
OK | portion | portion
OK | of | of
SUB | his | iv
SUB | life | white
SUB | was | with
OK | spent | spent
SUB | in | kings
SUB | slavery | read
SUB | but | worry
SUB | he | bond
SUB | eventually | that
SUB | gained | truly
SUB | freedom | gave
SUB | and | free
SUB | at | benefits
SUB | some | oh
SUB | point | points
SUB | either | i
OK | before | before
DEL | or | ****
OK | after | after
OK | gaining | gaining
OK | freedom | freedom
OK | he | he
SUB | studied | started
SUB | the | will
OK | works | works
OK | and | and
OK | philosophical | philosophical
OK | outlook | outlook
SUB | of | all
SUB | a | the
OK | tradition | tradition
OK | known | known
INS | **** | ask
INS | **** | so
SUB | as | is
SUB | stoicism | says
OK | and | and
OK | the | the
OK | works | works
OK | that | that
OK | were | were
OK | produced | produced
OK | on | on
INS | **** | he
SUB | his | if
SUB | behalf | the
SUB | that | happen
SUB | have | http
SUB | survived | survive
OK | are | are
SUB | two | to
OK | the | the
OK | first | first
OK | is | is
OK | a | a
OK | major | major
INS | **** | of
SUB | four | for
OK | volume | volume
OK | collection | collection
SUB | of | ahmed
SUB | his | kings
SUB | discussions | discussion
SUB | of | some
SUB | a | full
OK | range | range
OK | of | of
OK | topics | topics
OK | questions | questions
INS | **** | ii
INS | **** | medicaid
INS | **** | think
INS | **** | the
SUB | in | way
SUB | metaphysics | that
OK | questions | questions
OK | about | about
OK | the | the
OK | way | way
OK | the | the
OK | world | world
OK | is | is
OK | questions | questions
INS | **** | indicates
INS | **** | the
SUB | in | knowledge
SUB | epistemology | each
OK | how | how
SUB | we | does
OK | should | should
OK | understand | understand
DEL | the | ****
OK | world | world
OK | and | and
OK | also | also
OK | questions | questions
OK | in | in
OK | ethics | ethics
OK | and | and
DEL | in | ****
SUB | addition | edition
OK | to | to
SUB | that | back
OK | has | has
OK | survived | survived
INS | **** | beats
SUB | the | to
SUB | extraordinary | ordinary
OK | book | book
OK | that | that
SUB | we | the
OK | read | read
OK | for | for
OK | today | today
OK | the | the
OK | little | little
INS | **** | forty
INS | **** | five
INS | **** | at
INS | **** | the
INS | **** | graf
SUB | forty-five-epigraph | s
SUB | essay | a
OK | known | known
OK | as | as
OK | the | the
OK | handbook | handbook
OK | which | which
OK | was | was
DEL | as | ****
SUB | in | to
SUB | the | their
SUB | case | is
SUB | of | outlook
SUB | aristotle | through
SUB | apparently | the
OK | recorded | recorded
SUB | by | bond
OK | one | one
OK | of | of
SUB | epictetus's | epictetus
SUB | students | is
SUB | and | students
OK | preserved | preserved
SUB | in | mean
OK | that | that
SUB | way | what
OK | now | now
SUB | the | noble
SUB | work | and
OK | that | that
OK | epictetus | epictetus
OK | produced | produced
OK | in | in
OK | the | the
OK | context | context
OK | of | of
OK | the | the
OK | handbook | handbook
OK | was | was
INS | **** | an
OK | enormously | enormously
OK | influential | influential
OK | for | for
OK | most | most
OK | of | of
OK | the | the
OK | two | two
OK | thousand | thousand
OK | years | years
SUB | that | back
SUB | it | to
SUB | has | highs
SUB | been | being
OK | part | part
OK | of | of
OK | the | the
OK | western | western
OK | tradition | tradition
INS | **** | you
INS | **** | to
INS | **** | a
SUB | in | killer
SUB | particular | this
SUB | the | sections
SUB | frontispiece | please
OK | that | that
OK | i | i
SUB | used | use
OK | to | to
OK | show | show
OK | you | you
SUB | a | up
SUB | picture | http
SUB | of | sure
SUB | epictetus | at
SUB | is | easy
OK | drawn | drawn
INS | **** | pp
OK | from | from
OK | the | the
OK | library | library
SUB | of | ah
SUB | none | not
SUB | other | not
SUB | than | their
SUB | john | benjamin
OK | adams | adams
OK | the | the
OK | second | second
OK | president | president
OK | of | of
OK | the | the
OK | united | united
SUB | states | ce
OK | who | who
INS | **** | happiness
INS | **** | book
INS | **** | iii
SUB | had | he
SUB | this | is
SUB | book | collecting
SUB | in | iii
SUB | his | iv
SUB | collection | seventeen
SUB | in | fifty
SUB | its | full
SUB | 1715 | of
OK | latin | latin
OK | edition | edition
OK | wait | wait
SUB | until | till
SUB | the | to
OK | eclipse | eclipse
SUB | passes | i
SUB | another | you
SUB | interesting | think
SUB | thing | you
OK | to | to
OK | know | know
OK | historically | historically
OK | about | about
OK | the | the
OK | volume | volume
OK | that | that
SUB | we're | were
OK | reading | reading
DEL | is | ****
DEL | that | ****
DEL | the | ****
OK | first | first
SUB | english | don't
OK | translation | translation
SUB | of | are
SUB | it | that
SUB | was | what
OK | in | in
OK | fact | fact
SUB | done | john
OK | by | by
SUB | a | of
OK | great | great
OK | eighteenth | eighteenth
OK | century | century
OK | woman | woman
OK | of | of
OK | letters | letters
INS | **** | a
INS | **** | list
INS | **** | of
SUB | elizabeth | if
OK | carter | carter
SUB | though | the
OK | the | the
OK | translation | translation
SUB | that | we
SUB | we're | are
OK | reading | reading
OK | is | is
OK | a | a
OK | more | more
OK | modern | modern
SUB | version | versions
OK | of | of
SUB | it | that
OK | so | so
SUB | in | need
OK | this | this
OK | work | work
OK | epictetus | epictetus
SUB | takes | john
SUB | on | many
SUB | many | called
SUB | of | book
SUB | the | can
SUB | tenets | its
SUB | of | pp
SUB | classical | to
SUB | stoicism | was
SUB | so | says
SUB | we've | some
SUB | been | even
OK | introduced | introduced
OK | in | in
SUB | this | his
OK | class | class
DEL | so | ****
SUB | far | therefore
OK | first | first
OK | to | to
OK | the | the
OK | writings | writings
INS | **** | all
SUB | of | played
SUB | plato | all
OK | who | who
INS | **** | he
OK | is | is
OK | a | a
OK | systematic | systematic
OK | philosopher | philosopher
SUB | he | in
SUB | has | his
OK | views | views
OK | about | about
OK | everything | everything
OK | and | and
OK | his | his
OK | commitments | commitments
OK | are | are
OK | to | to
OK | a | a
OK | certain | certain
OK | kind | kind
OK | of | of
INS | **** | rational
SUB | rationalist | list
SUB | formalist | formal
SUB | idealist | its
SUB | philosophy | idea
SUB | and | list
SUB | we've | philosophy
SUB | been | am
SUB | introduced | reading
SUB | to | introduced
OK | the | the
OK | works | works
INS | **** | style
INS | **** | paris
SUB | of | that
SUB | aristotle | are
OK | through | through
OK | one | one
SUB | of | ah
SUB | his | please
OK | writings | writings
OK | the | the
INS | **** | to
SUB | nicomachean | mccain
OK | ethics | ethics
SUB | but | oh
SUB | alongside | ii
SUB | those | bonus
SUB | two | to
SUB | traditions | tradition
OK | the | the
SUB | platonic | time
OK | tradition | tradition
SUB | and | in
OK | the | the
INS | **** | with
SUB | aristotelian | jillian
OK | tradition | tradition
SUB | the | each
SUB | ancient | of
OK | philosophical | philosophical
OK | world | world
OK | produced | produced
SUB | a | i
SUB | number | not
SUB | of | all
OK | other | other
INS | **** | ce
SUB | systematic | to
SUB | philosophical | mac
SUB | outlooks | outlook
SUB | outlooks | ce
OK | that | that
OK | had | had
SUB | views | use
OK | about | about
OK | almost | almost
OK | any | any
OK | question | question
OK | you | you
OK | could | could
DEL | ask | ****
SUB | and | acts
OK | among | among
OK | those | those
OK | was | was
OK | the | the
INS | **** | v
INS | **** | you
SUB | view | know
SUB | known | ads
SUB | as | stoics
SUB | stoicism | is
OK | so | so
SUB | stoics | ce
SUB | held | oats
SUB | with | how
SUB | respect | we've
SUB | to | missed
SUB | the | you
OK | underlying | underlying
INS | **** | that
INS | **** | active
SUB | metaphysical | people
OK | facts | facts
OK | about | about
OK | reality | reality
INS | **** | don't
SUB | that | move
SUB | the | to
SUB | world | he
OK | itself | itself
INS | **** | he
OK | is | is
SUB | an | but
OK | organic | organic
OK | physical | physical
INS | **** | to
INS | **** | a
INS | **** | talented
SUB | totality | the
SUB | that's | to
SUB | governed | govern
OK | by | by
OK | what | what
OK | they | they
OK | called | called
INS | **** | logo
INS | **** | ce
INS | **** | work
SUB | logos | divided
SUB | or | reasons
SUB | divine | the
SUB | reason | are
SUB | there | he
OK | is | is
SUB | an | on
OK | order | order
OK | to | to
OK | the | the
OK | world | world
SUB | and | that
SUB | that | activists
SUB | the | what
SUB | responsibility | believed
SUB | of | on
OK | human | human
OK | beings | beings
OK | given | given
INS | **** | way
OK | that | that
SUB | order | he
OK | is | is
INS | **** | tomb
INS | **** | called
SUB | to | so
SUB | cultivate | they
SUB | a | you
SUB | particular | look
OK | kind | kind
SUB | of | all
OK | virtue | virtue
INS | **** | bond
INS | **** | us
INS | **** | don't
INS | **** | nature
SUB | virtue | ii
SUB | on | s
SUB | the | act
SUB | stoic | think
SUB | picture | nina
SUB | is | a
SUB | acting | pool
SUB | in | are
SUB | accord | a
SUB | with | we've
OK | what | what
INS | **** | reasons
SUB | reason | held
SUB | tells | ce
OK | you | you
OK | nature | nature
INS | **** | good
INS | **** | man
SUB | demands | iv
SUB | it's | ghali
SUB | going | not
OK | along | along
INS | **** | we
SUB | with | a
SUB | this | pace
OK | grand | grand
OK | scheme | scheme
OK | of | of
OK | things | things
SUB | and | i'm
OK | not | not
OK | trying | trying
DEL | to | ****
OK | fight | fight
OK | against | against
OK | what | what
OK | is | is
INS | **** | free
SUB | predivined | divine
OK | for | for
OK | you | you
OK | so | so
INS | **** | if
INS | **** | you
SUB | it's | to
SUB | not | prior
SUB | surprising | things
OK | that | that
OK | elements | elements
INS | **** | all
SUB | of | pp
OK | the | the
OK | stoic | stoic
OK | tradition | tradition
OK | get | get
INS | **** | haidt
SUB | picked | ah
SUB | up | pp
OK | in | in
OK | subsequent | subsequent
INS | **** | do
INS | **** | you
SUB | theistic | think
OK | traditions | traditions
OK | in | in
OK | some | some
OK | ways | ways
OK | the | the
OK | stoic | stoic
INS | **** | of
SUB | view | you
OK | that | that
OK | the | the
OK | world | world
INS | **** | the
OK | is | is
INS | **** | all
SUB | a | well
SUB | well-ordered | ordered
SUB | entity | and
SUB | governed | he
SUB | by | governor
SUB | divine | by
SUB | reason | divided
SUB | lies | reasons
SUB | at | lived
SUB | the | active
SUB | heart | hard
SUB | of | all
SUB | many | maybe
SUB | of | all
OK | the | the
OK | religious | religious
OK | traditions | traditions
OK | that | that
OK | are | are
OK | familiar | familiar
OK | to | to
OK | you | you
OK | today | today
OK | the | the
OK | question | question
OK | then | then
OK | becomes | becomes
OK | what | what
INS | **** | he
OK | is | is
OK | demanded | demanded
OK | of | of
OK | you | you
SUB | prescriptively | prospective
OK | what | what
INS | **** | sure
SUB | should | to
OK | you | you
OK | do | do
SUB | if | give
OK | these | these
SUB | two | to
OK | things | things
OK | are | are
OK | the | the
OK | case | case
SUB | and | i
OK | what | what
SUB | the | us
OK | stoics | stoics
OK | suggest | suggest
SUB | is | if
OK | that | that
OK | you | you
OK | need | need
OK | to | to
DEL | accept | ****
DEL | your | ****
SUB | fate | its
OK | that | that
SUB | it | ii
OK | is | is
OK | the | the
SUB | consequence | consequences
SUB | of | ah
SUB | the | pow
SUB | power | work
OK | and | and
OK | goodness | goodness
OK | of | of
OK | the | the
SUB | logos | logo
SUB | even | see
SUB | though | the
SUB | the | noble
SUB | ways | week
OK | in | in
OK | which | which
OK | it | it
OK | is | is
OK | good | good
OK | for | for
OK | you | you
OK | may | may
OK | be | be
INS | **** | on
SUB | unavailable | available
OK | to | to
OK | you | you
SUB | to | c
SUB | see | i
SUB | and | am
SUB | that | back
OK | in | in
OK | order | order
OK | to | to
OK | do | do
OK | so | so
OK | you | you
OK | need | need
OK | to | to
OK | moderate | moderate
INS | **** | are
SUB | your | desiring
SUB | desires | ce
OK | you | you
OK | need | need
OK | to | to
OK | avoid | avoid
SUB | excess | acts
OK | emotion | emotion
OK | and | and
SUB | thereby | verified
SUB | come | i'm
OK | to | to
OK | act | act
INS | **** | the
OK | in | in
INS | **** | the
OK | accord | accord
SUB | with | week
SUB | reason | reasons
OK | so | so
OK | the | the
OK | contemporary | contemporary
SUB | use | you
SUB | of | so
OK | the | the
SUB | term | terms
OK | stoic | stoic
OK | one | one
OK | who | who
SUB | doesn't | that
SUB | express | less
SUB | suffering | offering
OK | in | in
OK | the | the
OK | face | face
OK | of | of
DEL | pain | ****
SUB | is | paying
SUB | picking | he
SUB | up | not
OK | on | on
SUB | the | this
SUB | second | and
OK | of | of
OK | these | these
DEL | prescriptive | ****
DEL | aspects | ****
SUB | but | pp
SUB | it's | think
SUB | important | good
OK | to | to
OK | recognize | recognize
OK | that | that
SUB | as | how
SUB | with | made
OK | all | all
OK | of | of
OK | the | the
OK | philosophers | philosophers
OK | that | that
SUB | we're | we
OK | reading | reading
INS | **** | a
OK | this | this
OK | is | is
OK | part | part
OK | of | of
SUB | a | systematic
SUB | systematic | world
SUB | worldview | v
OK | the | the
SUB | idea | a
SUB | is | give
OK | not | not
SUB | we | need
SUB | pick | to
OK | a | a
OK | little | little
OK | bit | bit
OK | here | here
OK | and | and
OK | a | a
OK | little | little
OK | bit | bit
SUB | there | their
OK | and | and
OK | we | we
OK | don't | don't
OK | worry | worry
OK | about | about
DEL | how | ****
DEL | they | ****
DEL | go | ****
SUB | together | pp
OK | the | the
SUB | idea | i
SUB | is | do
SUB | we | you
SUB | have | d
SUB | an | having
OK | idea | idea
OK | about | about
OK | the | the
INS | **** | nature
OK | fundamental | fundamental
OK | nature | nature
OK | of | of
OK | reality | reality
SUB | a | of
SUB | view | you
OK | about | about
OK | how | how
OK | we | we
OK | know | know
OK | that | that
OK | and | and
OK | then | then
INS | **** | he
SUB | views | was
OK | about | about
OK | what | what
OK | we | we
OK | ought | ought
OK | to | to
OK | do | do
OK | as | as
OK | a | a
OK | consequence | consequence
OK | now | now
INS | **** | i
INS | **** | see
INS | **** | this
SUB | epictetus | he
OK | in | in
OK | the | the
OK | handbook | handbook
OK | is | is
OK | concerned | concerned
OK | only | only
OK | with | with
OK | a | a
OK | small | small
OK | portion | portion
SUB | of | all
OK | the | the
OK | stoic | stoic
SUB | picture | pitcher
SUB | he's | his
SUB | concerned | concert
OK | basically | basically
SUB | with | when
OK | writing | writing
OK | the | the
OK | very | very
OK | first | first
SUB | self-help | self
OK | manual | manual
OK | he's | he's
OK | trying | trying
OK | to | to
OK | tell | tell
OK | you | you
OK | mr | mr
INS | **** | org
INS | **** | is
SUB | or | as
SUB | ms | saying
SUB | citizen | all
OK | of | of
OK | ancient | ancient
OK | roman | roman
OK | world | world
OK | in | in
OK | about | about
OK | the | the
OK | year | year
DEL | 100 | ****
OK | what | what
SUB | to | true
SUB | do | joan
OK | if | if
OK | you | you
OK | would | would
OK | like | like
DEL | to | ****
SUB | flourish | and
SUB | and | here
SUB | here's | is
OK | what | what
SUB | he | hotels
SUB | tells | you
OK | you | you
OK | need | need
OK | to | to
OK | do | do
OK | you | you
OK | need | need
OK | to | to
SUB | learn | mind
OK | how | how
OK | to | to
INS | **** | was
SUB | respond | bond
OK | appropriately | appropriately
OK | to | to
OK | experience | experience
OK | by | by
OK | doing | doing
OK | three | three
OK | things | things
OK | you | you
OK | need | need
OK | to | to
OK | alter | alter
OK | your | your
INS | **** | purse
SUB | perceptions | axes
OK | of | of
OK | the | the
SUB | world | war
SUB | so | also
OK | that | that
OK | you | you
OK | come | come
SUB | to | human
SUB | apprehend | apprehended
OK | things | things
OK | in | in
OK | such | such
OK | a | a
OK | way | way
DEL | that | ****
OK | they | they
OK | don't | don't
OK | influence | influence
OK | you | you
INS | **** | harmful
SUB | harmfully | week
OK | you | you
OK | need | need
OK | to | to
SUB | alter | altered
SUB | your | or
SUB | desires | desirous
OK | with | with
OK | respect | respect
OK | to | to
OK | the | the
OK | world | world
INS | **** | i
INS | **** | a
SUB | and | unique
SUB | you | chance
SUB | need | clap
SUB | to | sure
SUB | structure | you
SUB | your | war
SUB | life | like
OK | in | in
OK | such | such
OK | a | a
OK | way | way
DEL | that | ****
DEL | you | ****
SUB | stay | she's
SUB | on | staying
SUB | the | august
SUB | straight | great
OK | and | and
DEL | narrow | ****
SUB | you | now
OK | need | need
OK | to | to
SUB | structure | ce
SUB | your | tractor
SUB | social | socially
SUB | relations | issues
OK | in | in
OK | ways | ways
OK | that | that
OK | will | will
DEL | help | ****
DEL | you | ****
SUB | sustain | how
SUB | your | who
SUB | commitments | spring
SUB | and | can
SUB | in | that
OK | the | the
SUB | next | i
SUB | slide | don't
SUB | in | next
SUB | an | striking
SUB | attempt | that
SUB | to | how
SUB | help | can
OK | you | you
OK | read | read
SUB | through | rumor
OK | the | the
DEL | text | ****
DEL | that | ****
SUB | we | tax
SUB | have | how
OK | i | i
OK | suggested | suggested
OK | ways | ways
SUB | of | all
SUB | putting | what
OK | each | each
OK | of | of
INS | **** | this
SUB | the | to
SUB | subpassages | is
OK | of | of
OK | the | the
OK | book | book
OK | into | into
DEL | one | ****
SUB | of | wanted
OK | these | these
OK | categories | categories
SUB | so | some
OK | for | for
OK | example | example
OK | when | when
OK | epictetus | epictetus
SUB | tells | how
SUB | us | five
OK | that | that
OK | we | we
OK | need | need
INS | **** | to
OK | alter | alter
OK | our | our
OK | perception | perception
OK | of | of
OK | the | the
OK | world | world
SUB | there | years
SUB | are | the
SUB | three | we
OK | specific | specific
INS | **** | way
SUB | ways | ce
OK | that | that
OK | he | he
SUB | thinks | things
OK | we | we
OK | might | might
OK | go | go
OK | about | about
OK | doing | doing
DEL | it | ****
DEL | three | ****
SUB | components | contents
OK | to | to
OK | this | this
OK | instruction | instruction
OK | the | the
OK | first | first
OK | is | is
OK | that | that
OK | we | we
OK | need | need
OK | to | to
INS | **** | pp
SUB | properly | highly
SUB | classify | classified
OK | things | things
SUB | into | each
SUB | two | you
OK | categories | categories
OK | things | things
OK | over | over
OK | which | which
OK | we | we
OK | have | have
OK | control | control
DEL | and | ****
DEL | we'll | ****
DEL | talk | ****
OK | more | more
OK | about | about
OK | that | that
OK | in | in
OK | a | a
OK | moment | moment
SUB | and | i'm
OK | things | things
OK | over | over
OK | which | which
DEL | we | ****
OK | don't | don't
OK | have | have
OK | control | control
OK | so | so
OK | we | we
OK | need | need
OK | to | to
SUB | get | jacked
OK | our | our
INS | **** | tax
INS | **** | and
SUB | taxonomy | and
OK | down | down
OK | we | we
OK | need | need
OK | also | also
DEL | to | ****
OK | anticipate | anticipate
SUB | the | no
SUB | way | may
OK | the | the
OK | world | world
INS | **** | please
SUB | typically | unfold
SUB | unfolds | ce
OK | so | so
OK | we | we
SUB | need | do
OK | not | not
DEL | only | ****
SUB | to | are
SUB | know | external
OK | what | what
DEL | is | ****
DEL | up | ****
DEL | to | ****
SUB | us | interact
SUB | and | one
OK | what | what
SUB | isn't | is
OK | up | up
OK | to | to
OK | us | us
DEL | but | ****
SUB | among | latin
SUB | the | look
OK | things | things
OK | that | that
INS | **** | are
SUB | aren't | and
OK | up | up
OK | to | to
OK | us | us
OK | we | we
OK | need | need
SUB | to | says
SUB | structure | structured
OK | our | our
OK | expectations | expectations
DEL | in | ****
SUB | such | into
SUB | a | to
SUB | way | wait
OK | that | that
OK | we | we
OK | are | are
OK | emotionally | emotionally
OK | prepared | prepared
OK | for | for
OK | what | what
OK | will | will
DEL | befall | ****
SUB | us | befalls
OK | and | and
OK | again | again
DEL | i'll | ****
DEL | talk | ****
SUB | more | war
OK | about | about
OK | that | that
OK | in | in
DEL | a | ****
DEL | couple | ****
SUB | of | nicholas
SUB | slides | life
SUB | and | i
OK | we | we
OK | need | need
OK | to | to
OK | recognize | recognize
OK | in | in
OK | some | some
OK | ways | ways
OK | this | this
OK | is | is
OK | a | a
INS | **** | some
SUB | subpoint | point
OK | of | of
OK | the | the
OK | first | first
OK | the | the
DEL | role | ****
SUB | that | wall
SUB | judgment | back
SUB | and | judgments
SUB | choice | police
SUB | play | way
SUB | in | we
OK | determining | determining
OK | whether | whether
INS | **** | iv
SUB | it | he
OK | is | is
OK | the | the
OK | case | case
OK | that | that
OK | experiences | experiences
SUB | affect | a
SUB | us | fax
OK | so | so
DEL | those | ****
DEL | are | ****
SUB | the | don't
SUB | three | read
OK | things | things
OK | that | that
OK | epictetus | epictetus
SUB | says | sense
OK | we | we
OK | need | need
OK | to | to
OK | do | do
OK | with | with
DEL | respect | ****
DEL | to | ****
DEL | perception | ****
SUB | and | first
SUB | again | get
SUB | i'll | out
SUB | give | that
OK | examples | examples
SUB | of | are
OK | each | each
OK | of | of
OK | them | them
OK | in | in
OK | a | a
OK | moment | moment
DEL | in | ****
SUB | addition | edition
SUB | we'll | you
SUB | go | would
SUB | on | like
OK | to | to
DEL | the | ****
SUB | second | us
OK | thing | thing
OK | that | that
OK | we | we
OK | need | need
OK | to | to
DEL | do | ****
DEL | he | ****
DEL | tells | ****
DEL | us | ****
SUB | that | don't
OK | we | we
OK | need | need
OK | to | to
SUB | cultivate | carlton
SUB | appropriate | make
SUB | desires | appropriate
SUB | we | drives
OK | need | need
OK | to | to
OK | get | get
INS | **** | are
SUB | our | desiring
SUB | desires | that
SUB | lined | why
SUB | up | not
SUB | with | of
OK | the | the
OK | world | world
OK | in | in
OK | such | such
OK | a | a
OK | way | way
OK | that | that
OK | we | we
DEL | aren't | ****
DEL | subject | ****
SUB | repeatedly | are
SUB | to | its
SUB | frustration | first
SUB | and | an
OK | the | the
SUB | way | we
SUB | we | need
SUB | do | you
OK | this | this
INS | **** | he
OK | is | is
OK | by | by
DEL | inverting | ****
SUB | the | converting
SUB | standard | added
OK | relation | relation
SUB | between | queen
OK | desire | desire
OK | and | and
OK | the | the
OK | world | world
OK | usually | usually
INS | **** | a
INS | **** | desiring
INS | **** | ce
SUB | desires | brass
SUB | express | how
OK | a | a
OK | way | way
OK | things | things
DEL | aren't | ****
SUB | but | bond
SUB | you | lecture
OK | wish | wish
OK | they | they
OK | were | were
OK | i | i
SUB | desired | desiring
SUB | firmly | family
OK | yesterday | yesterday
SUB | that | but
SUB | there | their
OK | not | not
OK | be | be
OK | the | the
DEL | eighth | ****
OK | snow | snow
OK | day | day
OK | in | in
OK | three | three
OK | weeks | weeks
OK | for | for
OK | my | my
OK | children | children
SUB | but | what
OK | the | the
OK | world | world
OK | refused | refused
DEL | to | ****
OK | cooperate | cooperate
OK | on | on
INS | **** | back
INS | **** | questions
SUB | that | hackett
SUB | question | if
SUB | had | that
SUB | i | they
SUB | instead | just
SUB | adjusted | good
OK | my | my
OK | desires | desires
DEL | to | ****
OK | the | the
OK | world | world
OK | i | i
SUB | desired | desiring
OK | that | that
OK | things | things
OK | go | go
SUB | on | want
OK | exactly | exactly
OK | as | as
INS | **** | able
SUB | logos | those
SUB | predicts | make
SUB | then | than
OK | i | i
SUB | would | what
SUB | have | happy
SUB | been | a
SUB | content | contents
SUB | with | make
OK | their | their
OK | presence | presence
OK | in | in
OK | my | my
OK | office | office
SUB | the | this
SUB | second | i
SUB | thing | think
OK | that | that
DEL | epictetus | ****
DEL | tells | ****
DEL | us | ****
DEL | we | ****
SUB | can | hume
SUB | do | he
OK | in | in
DEL | strategizing | ****
SUB | how | tragic
OK | to | to
SUB | cultivate | i
SUB | appropriate | think
SUB | desires | do
SUB | is | you
SUB | to | ce
SUB | make | its
SUB | use | to
SUB | of | ordinary
SUB | this | found
SUB | extraordinary | capacity
SUB | human | to
SUB | capacity | us
SUB | to | them
SUB | assimilate | late
OK | things | things
OK | from | from
OK | one | one
SUB | category | categories
SUB | to | things
SUB | things | pp
OK | from | from
OK | another | another
OK | so | so
DEL | remember | ****
DEL | when | ****
SUB | i | not
SUB | showed | issued
OK | you | you
OK | the | the
SUB | wason | way
SUB | selection | ce
SUB | task | in
SUB | that | selection
SUB | funny | task
SUB | thing | anything
OK | which | which
OK | had | had
SUB | an | i
OK | a | a
OK | and | and
SUB | an | a
SUB | f | half
OK | and | and
SUB | a | of
SUB | 4 | for
OK | and | and
SUB | a | us
SUB | 7 | that
OK | and | and
SUB | i | and
SUB | asked | a
SUB | which | half
SUB | card | can
SUB | we | which
SUB | had | cardinal
SUB | to | haidt
SUB | turn | of
SUB | over | turnover
OK | to | to
SUB | determine | truly
OK | whether | whether
OK | it | it
OK | was | was
OK | true | true
DEL | that | ****
SUB | if | steady
SUB | there's | as
SUB | an | a
OK | a | a
OK | on | on
OK | one | one
OK | side | side
