OP	REF	HYP
OK	DEPRESSED	DEPRESSED
DEL	AND	****
SUB	OTHERS	MOTHERS
SUB	DON'T	DOBBS
OK	THE	THE
DEL	STYLE	****
SUB	OF	FILE
OK	THIS	THIS
OK	IS	IS
SUB	THERE'LL	THE
SUB	BE	BEACH
SUB	TWO	WHO
OK	LECTURES	LECTURES
OK	A	A
OK	WEEK	WEEK
OK	AS	AS
OK	WELL	WELL
OK	AS	AS
SUB	COURSE	OR
SUB	READINGS	SUITES
OK	NOW	NOW
OK	TO	TO
OK	DO	DO
OK	WELL	WELL
SUB	IN	ON
OK	THE	THE
INS	****	COURTS
SUB	COURSE	AH
OK	YOU	YOU
OK	HAVE	HAVE
OK	TO	TO
OK	ATTEND	ATTEND
OK	BOTH	BOTH
DEL	THE	****
OK	LECTURES	LECTURES
OK	AND	AND
OK	DO	DO
OK	THE	THE
OK	READINGS	READINGS
OK	THERE	THERE
OK	WILL	WILL
OK	BE	BE
OK	SOME	SOME
OK	OVERLAP	OVERLAP
OK	IN	IN
OK	SOME	SOME
OK	CASES	CASES
DEL	THE	****
DEL	LECTURES	****
SUB	WILL	COLLECTORS
SUB	BE	WE
OK	QUITE	QUITE
SUB	LINKED	LINK
OK	TO	TO
OK	THE	THE
OK	READINGS	READINGS
OK	BUT	BUT
DEL	THERE	****
SUB	WILL	DON'T
OK	BE	BE
OK	SOME	SOME
INS	****	CUBE
OK	PARTS	PARTS
OK	OF	OF
OK	THE	THE
OK	READINGS	READINGS
OK	THAT	THAT
OK	WILL	WILL
OK	NOT	NOT
OK	FIND	FIND
SUB	THEIR	A
OK	WAY	WAY
DEL	INTO	****
DEL	THE	****
DEL	LECTURES	****
SUB	AND	COLLECTORS
OK	SOME	SOME
SUB	LECTURES	LECTURE
SUB	SOME	SUMMIT
SUB	ENTIRE	HIRE
OK	LECTURES	LECTURES
OK	THAT	THAT
OK	WILL	WILL
OK	NOT	NOT
OK	CONNECT	CONNECT
OK	AT	AT
OK	ALL	ALL
OK	TO	TO
OK	THE	THE
SUB	READINGS	READS
OK	SO	SO
SUB	TO	THE
OK	PURSUE	PURSUE
OK	THIS	THIS
OK	COURSE	COURSE
OK	PROPERLY	PROPERLY
OK	YOU	YOU
OK	HAVE	HAVE
OK	TO	TO
OK	DO	DO
OK	BOTH	BOTH
INS	****	BOB
OK	WHAT	WHAT
OK	THIS	THIS
OK	MEANS	MEANS
OK	IS	IS
OK	THAT	THAT
OK	IF	IF
DEL	YOU	****
SUB	MISS	HE
SUB	A	DOES
SUB	CLASS	THAT
SUB	YOU	QUESTION
SUB	NEED	ME
OK	TO	TO
OK	GET	GET
SUB	NOTES	NO
OK	AND	AND
SUB	SO	DO
OK	YOU	YOU
DEL	SHOULD	****
OK	GET	GET
DEL	THEM	****
DEL	FROM	****
DEL	A	****
SUB	FRIEND	UP
OK	OR	OR
DEL	FROM	****
DEL	THE	****
SUB	PERSON	FRIEND
OK	SITTING	SITTING
OK	NEXT	NEXT
DEL	TO	****
DEL	YOU	****
OK	THE	THE
OK	SLIDES	SLIDES
DEL	ARE	****
DEL	GOING	****
SUB	TO	BUT
SUB	BE	IN
SUB	MADE	A
OK	AVAILABLE	AVAILABLE
OK	ONLINE	ONLINE
OK	SO	SO
DEL	ONE	****
SUB	OF	WHAT
SUB	THE	ARE
OK	THINGS	THINGS
OK	YOU	YOU
OK	DON'T	DON'T
OK	HAVE	HAVE
OK	TO	TO
OK	DO	DO
DEL	IS	****
DEL	YOU	****
SUB	DON'T	WITH
SUB	HAVE	LEGAL
SUB	TO	RAPID
SUB	WRITE	RATE
SUB	THIS	IS
OK	DOWN	DOWN
OK	YOU	YOU
OK	TAKE	TAKE
OK	NOTES	NOTES
DEL	ANY	****
SUB	WAY	ANYWAY
OK	YOU	YOU
OK	CHOOSE	CHOOSE
OK	BUT	BUT
OK	IF	IF
OK	YOU	YOU
OK	DON'T	DON'T
OK	GET	GET
OK	ANYTHING	ANYTHING
OK	ON	ON
OK	THERE	THERE
SUB	IT'LL	WILL
OK	BE	BE
OK	AVAILABLE	AVAILABLE
DEL	ONLINE	****
DEL	I'M	****
SUB	GOING	ON
SUB	TO	ONE
SUB	POST	OF
SUB	IT	THE
SUB	IN	HOSTED
SUB	A	THE
OK	FORMAT	FORMAT
OK	WHICH	WHICH
OK	WILL	WILL
OK	BE	BE
OK	BLACK	BLACK
OK	AND	AND
OK	WHITE	WHITE
INS	****	AND
OK	AND	AND
OK	EASY	EASY
OK	TO	TO
DEL	PRINT	****
SUB	OUT	FORGET
SUB	SO	DO
OK	YOU	YOU
OK	DON'T	DON'T
DEL	HAVE	****
DEL	TO	****
OK	WORRY	WORRY
OK	ABOUT	ABOUT
OK	THIS	THIS
OK	BUT	BUT
OK	AGAIN	AGAIN
DEL	ATTENDING	****
SUB	TO	TEN
SUB	THE	NATO'S
SUB	SLIDES	LINE
OK	IS	IS
OK	NOT	NOT
INS	****	AS
INS	****	UP
SUB	A	TO
SUB	SUBSTITUTE	TWO
OK	FOR	FOR
SUB	ATTENDING	SPENDING
OK	CLASS	CLASS
INS	****	DOES
SUB	THERE'S	THAT
SUB	A	LOOK
SUB	TEXTBOOK	OH
OK	PETER	PETER
SUB	GRAY'S	GRACE
OK	PSYCHOLOGY	PSYCHOLOGY
SUB	5TH	FIFTH
OK	EDITION	EDITION
OK	AND	AND
SUB	THERE'S	IS
OK	ALSO	ALSO
DEL	A	****
OK	COLLECTION	COLLECTION
OK	OF	OF
SUB	SHORT	SCHORR
SUB	READINGS	READS
OK	THE	THE
OK	NORTON	NORTON
SUB	READER	WE'RE
SUB	EDITED	HEADED
OK	BY	BY
OK	GARY	GARY
INS	****	MARKETS
SUB	MARCUS	BOB
OK	IT'S	IT'S
OK	AN	AN
OK	EXCELLENT	EXCELLENT
OK	TEXTBOOK	TEXTBOOK
SUB	IT'S	ITS
SUB	AN	NEXT
SUB	EXCELLENT	WEEK
OK	COLLECTION	COLLECTION
OK	AND	AND
OK	YOU	YOU
OK	SHOULD	SHOULD
OK	GET	GET
OK	THEM	THEM
OK	BOTH	BOTH
SUB	THEY'RE	BOB
SUB	AVAILABLE	THERE
SUB	AT	ARE
SUB	LABYRINTH	AVAILABLE
SUB	BOOKSTORE	AT
SUB	ON	RAPIDS
SUB	YORK	YOUR
SUB	STREET	HONOR
SUB	OR	YORK'S
SUB	YOU	WE
OK	GET	GET
OK	THEM	THEM
INS	****	ON
SUB	ONLINE	ONE
OK	I	I
OK	SHOULD	SHOULD
OK	NOTE	NOTE
OK	THAT	THAT
OK	LAST	LAST
OK	TIME	TIME
OK	I	I
DEL	TAUGHT	****
DEL	THE	****
SUB	COURSE	THOUGHT
OK	I	I
OK	USED	USED
OK	THE	THE
SUB	MARCUS	MARCHES
OK	READER	READER
OK	AND	AND
INS	****	I'M
SUB	WHEN	ONE
OK	PROFESSOR	PROFESSOR
OK	MARVIN	MARVIN
SUB	CHUN	CHAN
OK	TAUGHT	TAUGHT
SUB	HIS	THIS
OK	COURSE	COURSE
OK	LAST	LAST
SUB	SEMESTER	MASTERS
OK	HE	HE
OK	USED	USED
DEL	PETER	****
DEL	GRAY'S	****
DEL	5TH	****
DEL	EDITION	****
DEL	TEXTBOOK	****
DEL	SO	****
DEL	THERE	****
SUB	MAY	TO
SUB	BE	GRACE
SUB	A	THIRTY
SUB	LOT	MAYBE
SUB	OF	LIKE
SUB	USED	USE
OK	COPIES	COPIES
SUB	FLOATING	VOTING
SUB	AROUND	RAP
OK	YOU	YOU
OK	SHOULD	SHOULD
OK	FEEL	FEEL
OK	FREE	FREE
OK	TO	TO
OK	TRY	TRY
SUB	TO	THAT
OK	GET	GET
OK	ONE	ONE
OK	OF	OF
OK	THOSE	THOSE
INS	****	IF
INS	****	THAT
INS	****	I
SUB	THE	MADE
SUB	EVALUATION	IN
SUB	GOES	BOTH
OK	LIKE	LIKE
OK	THIS	THIS
OK	THERE	THERE
OK	IS	IS
OK	A	A
SUB	MIDTERM	MID
SUB	AND	TERM
SUB	THERE	AND
SUB	IS	THERE'S
OK	A	A
SUB	FINAL	FINE
SUB	THE	OP
SUB	FINAL	WHILE
OK	WILL	WILL
OK	NOT	NOT
OK	BE	BE
OK	HELD	HELD
DEL	IN	****
SUB	THE	AN
OK	EXAM	EXAM
OK	PERIOD	PERIOD
OK	BECAUSE	BECAUSE
OK	I	I
OK	LIKE	LIKE
DEL	TO	****
DEL	TAKE	****
DEL	LONG	****
SUB	VACATIONS	THAT
SUB	IT	MODIFICATIONS
SUB	WILL	STILL
SUB	BE	THE
SUB	HELD	HELP
OK	THE	THE
OK	LAST	LAST
OK	DAY	DAY
OK	OF	OF
OK	CLASS	CLASS
DEL	THE	****
SUB	EXAMS	EXAMPLE
SUB	WILL	MEDIEVAL
OK	BE	BE
OK	MULTIPLE	MULTIPLE
SUB	CHOICE	JOINTS
OK	AND	AND
OK	SHORT	SHORT
OK	ANSWER	ANSWER
DEL	FILL	****
DEL	IN	****
OK	THE	THE
SUB	BLANK	LORNA
SUB	THAT	BLACKOUT
OK	SORT	SORT
OK	OF	OF
OK	THING	THING
OK	PRIOR	PRIOR
OK	TO	TO
OK	THE	THE
OK	EXAMS	EXAMS
OK	I	I
OK	WILL	WILL
OK	POST	POST
OK	PREVIOUS	PREVIOUS
SUB	EXAMS	EXACT
OK	ONLINE	ONLINE
SUB	SO	DO
OK	YOU	YOU
OK	HAVE	HAVE
OK	A	A
OK	FEELING	FEELING
DEL	FOR	****
OK	HOW	HOW
OK	THESE	THESE
OK	EXAMS	EXAMS
OK	WORK	WORK
DEL	AND	****
OK	SO	SO
SUB	ON	WHAT
SUB	THERE	THE
SUB	WILL	LOSS
SUB	ALSO	OF
SUB	BE	THE
OK	REVIEW	REVIEW
SUB	SESSIONS	SESSION
OK	STARTING	STARTING
OK	AT	AT
OK	THE	THE
OK	BEGINNING	BEGINNING
OK	OF	OF
OK	THE	THE
OK	THIRD	THIRD
OK	WEEK	WEEK
OK	OF	OF
OK	CLASS	CLASS
DEL	Â€	****
OK	THAT	THAT
OK	IS	IS
OK	NOT	NOT
OK	NEXT	NEXT
OK	WEEK	WEEK
SUB	BUT	WITH
SUB	THE	A
OK	WEEK	WEEK
OK	AFTER	AFTER
DEL	Â€	****
OK	ON	ON
DEL	EACH	****
OK	MONDAY	MONDAY
SUB	I'M	EACH
SUB	GOING	ONE
SUB	TO	A
SUB	PUT	ONE
SUB	UP	OF
SUB	A	THE
SUB	BRIEF	BRIEFED
OK	QUESTION	QUESTION
OK	OR	OR
OK	SET	SET
OK	OF	OF
OK	QUESTIONS	QUESTIONS
OK	WHICH	WHICH
OK	YOU	YOU
OK	HAVE	HAVE
OK	TO	TO
OK	ANSWER	ANSWER
OK	AND	AND
OK	YOUR	YOUR
OK	ANSWERS	ANSWERS
DEL	NEED	****
DEL	TO	****
OK	BE	BE
DEL	SENT	****
DEL	TO	****
DEL	YOUR	****
SUB	TEACHING	THE
SUB	FELLOW	EXEMPT
SUB	AND	DON'T
SUB	YOU'LL	YOU
OK	BE	BE
OK	GIVEN	GIVEN
OK	A	A
OK	TEACHING	TEACHING
INS	****	FELT
SUB	FELLOW	THE
SUB	ASSIGNED	SIGN
OK	ONE	ONE
INS	****	BOB
OK	BY	BY
OK	FRIDAY	FRIDAY
OK	THIS	THIS
OK	IS	IS
OK	NOT	NOT
OK	MEANT	MEANT
OK	TO	TO
OK	BE	BE
OK	DIFFICULT	DIFFICULT
OK	IT'S	IT'S
OK	NOT	NOT
OK	MEANT	MEANT
OK	TO	TO
OK	BE	BE
OK	MORE	MORE
OK	THAN	THAN
OK	FIVE	FIVE
OK	TEN	TEN
OK	MINUTES	MINUTES
OK	OF	OF
OK	WORK	WORK
OK	BUT	BUT
OK	THE	THE
OK	POINT	POINT
OK	OF	OF
OK	THE	THE
OK	QUESTION	QUESTION
SUB	15	FIFTEEN
SUB	20	TWENTY
OK	MINUTES	MINUTES
OK	OF	OF
OK	WORK	WORK
INS	****	OH
OK	BUT	BUT
OK	THE	THE
OK	POINT	POINT
OK	OF	OF
OK	THE	THE
OK	QUESTION	QUESTION
DEL	IS	****
DEL	TO	****
DEL	MOTIVATE	****
DEL	PEOPLE	****
DEL	TO	****
SUB	KEEP	SOMEWHAT
SUB	UP	OF
SUB	WITH	A
SUB	THE	PEOPLE'S
SUB	MATERIAL	THEY'RE
SUB	AND	REAL
SUB	DO	INTO
OK	THE	THE
SUB	READINGS	REPEATS
OK	THESE	THESE
OK	QUESTIONS	QUESTIONS
OK	WILL	WILL
OK	BE	BE
SUB	MARKED	MARK
OK	PASS	PASS
OK	FAIL	FAIL
OK	I	I
OK	EXPECT	EXPECT
OK	MOST	MOST
OK	EVERYBODY	EVERYBODY
SUB	COULD	TO
OK	PASS	PASS
OK	ALL	ALL
OK	OF	OF
OK	THE	THE
SUB	QUESTIONS	QUESTION
OK	BUT	BUT
SUB	IT'S	IS
OK	JUST	JUST
OK	TO	TO
OK	KEEP	KEEP
OK	YOU	YOU
DEL	ON	****
DEL	TRACK	****
DEL	AND	****
SUB	KEEP	WANT
SUB	YOU	TRACKING
SUB	GOING	VIEWPOINT
SUB	THERE	BOB
SUB	IS	THERE'S
OK	A	A
OK	BOOK	BOOK
OK	REVIEW	REVIEW
OK	A	A
OK	SHORT	SHORT
DEL	BOOK	****
DEL	REVIEW	****
DEL	TO	****
DEL	BE	****
DEL	WRITTEN	****
SUB	TOWARDS	REVERED
SUB	NEAR	EVEN
SUB	THE	WORSE
SUB	END	SNEERED
SUB	OF	AND
SUB	THE	OTHER
OK	CLASS	CLASS
SUB	I'LL	I
SUB	GIVE	GET
OK	DETAILS	DETAILS
OK	ABOUT	ABOUT
OK	THAT	THAT
OK	LATER	LATER
OK	ON	ON
DEL	IN	****
DEL	THE	****
SUB	SEMESTER	THIS
SUB	AND	MATTER
OK	THERE'S	THERE'S
OK	ALSO	ALSO
INS	****	NICK'S
SUB	AN	THEIR
SUB	EXPERIMENTAL	MENTAL
SUB	PARTICIPATION	PARTICIPATE
SUB	REQUIREMENT	WIRE
OK	AND	AND
OK	NEXT	NEXT
OK	WEEK	WEEK
OK	I'LL	I'LL
OK	HAND	HAND
OK	OUT	OUT
DEL	A	****
DEL	PIECE	****
DEL	OF	****
SUB	PAPER	THESE
SUB	DESCRIBING	ESCAPE
SUB	THE	DRIVING
OK	REQUIREMENT	REQUIREMENT
DEL	THE	****
DEL	POINT	****
SUB	OF	FLOYD
SUB	THE	ERIC
SUB	REQUIREMENT	FOREMAN
OK	IS	IS
OK	TO	TO
SUB	GIVE	KEEP
OK	YOU	YOU
SUB	ALL	WALLETS
SUB	EXPERIENCE	SYRIANS
OK	ACTUALLY	ACTUALLY
OK	SEEING	SEEING
OK	WHAT	WHAT
OK	PSYCHOLOGICAL	PSYCHOLOGICAL
OK	RESEARCH	RESEARCH
OK	IS	IS
OK	ABOUT	ABOUT
OK	AS	AS
DEL	WELL	****
SUB	AS	CLOSE
OK	TO	TO
OK	GIVE	GIVE
OK	US	US
OK	HUNDREDS	HUNDREDS
OK	OF	OF
DEL	SUBJECTS	****
SUB	TO	SUBJECT
SUB	DO	YOU
SUB	OUR	ARE
SUB	EXPERIMENTS	EXPRESS
SUB	ON	AH
OK	THE	THE
SUB	ISSUE	ASIAN
OK	SOMETIMES	SOMETIMES
SUB	COMES	ABOUT
SUB	UP	THE
SUB	AS	HIGHER
SUB	TO	WHILE
SUB	HOW	BORIS
SUB	TO	I'M
SUB	DO	HERE
SUB	WELL	SENATOR
SUB	IN	WELL
OK	THE	THE
DEL	COURSE	****
DEL	HERE'S	****
DEL	HOW	****
DEL	TO	****
DEL	DO	****
DEL	WELL	****
SUB	ATTEND	TEN
OK	ALL	ALL
SUB	THE	OF
OK	CLASSES	CLASSES
DEL	KEEP	****
SUB	UP	CAPABLE
SUB	WITH	TO
SUB	THE	READINGS
SUB	READINGS	BY
SUB	IDEALLY	DEALING
OK	KEEP	KEEP
OK	UP	UP
DEL	WITH	****
OK	THE	THE
OK	READINGS	READINGS
INS	****	I'M
OK	BEFORE	BEFORE
OK	YOU	YOU
OK	COME	COME
OK	TO	TO
OK	CLASS	CLASS
INS	****	AH
OK	AND	AND
OK	ONE	ONE
OK	THING	THING
OK	I	I
OK	WOULD	WOULD
OK	STRONGLY	STRONGLY
OK	SUGGEST	SUGGEST
DEL	IS	****
DEL	TO	****
DEL	FORM	****
DEL	SOME	****
DEL	SORT	****
DEL	OF	****
DEL	STUDY	****
DEL	GROUPS	****
OK	EITHER	EITHER
OK	FORMALLY	FORMALLY
OK	OR	OR
SUB	INFORMALLY	INFORM
SUB	HAVE	WEEK
SUB	PEOPLE	ACTUALLY
SUB	YOU	WE
OK	COULD	COULD
OK	TALK	TALK
OK	TO	TO
OK	WHEN	WHEN
SUB	THE	EXACT
OK	PRIOR	PRIOR
OK	TO	TO
DEL	THE	****
OK	EXAMS	EXAMS
DEL	OR	****
DEL	SHE'S	****
DEL	PATTING	****
SUB	SOMEBODY	THAT'S
SUB	NEXT	A
SUB	TO	MINUTE
OK	HER	HER
OK	I	I
SUB	HOPE	HELP
OK	YOU	YOU
OK	KNOW	KNOW
OK	HIM	HIM
SUB	AND	OH
SUB	IN	ANYHOW
SUB	FACT	AND
SUB	WHAT	A
SUB	I'M	CONTRACT
SUB	GOING	WITH
SUB	TO	MY
SUB	DO	VIEW
OK	NOT	NOT
OK	THIS	THIS
OK	CLASS	CLASS
DEL	BECAUSE	****
DEL	IT'S	****
DEL	SHOPPING	****
SUB	PERIOD	IS
SUB	I	A
SUB	DON'T	CHOPPING
SUB	KNOW	BARREN
SUB	WHO'S	WAS
OK	COMING	COMING
SUB	NEXT	AT
SUB	CLASS	LAST
OK	OR	OR
OK	WHAT	WHAT
DEL	BUT	****
DEL	I'LL	****
DEL	SET	****
SUB	UP	ANOTHER
SUB	A	BOOK
SUB	FEW	YOU
OK	MINUTES	MINUTES
OK	PRIOR	PRIOR
DEL	AT	****
SUB	THE	TO
OK	BEGINNING	BEGINNING
DEL	OF	****
DEL	THE	****
DEL	CLASS	****
SUB	FOR	CLASP
OK	PEOPLE	PEOPLE
OK	JUST	JUST
DEL	TO	****
OK	INTRODUCE	INTRODUCE
OK	THEMSELVES	THEMSELVES
DEL	TO	****
SUB	THE	A
OK	PERSON	PERSON
OK	NEXT	NEXT
OK	TO	TO
OK	THEM	THEM
DEL	SO	****
SUB	THEY	TONI
OK	HAVE	HAVE
OK	SOME	SOME
OK	SORT	SORT
OK	OF	OF
OK	RESOURCE	RESOURCE
SUB	IN	BOB
SUB	THE	IN
OK	CLASS	CLASS
OK	NOW	NOW
OK	THIS	THIS
OK	IS	IS
OK	A	A
OK	LARGE	LARGE
OK	CLASS	CLASS
INS	****	UM
OK	AND	AND
OK	IF	IF
OK	YOU	YOU
OK	DON'T	DON'T
OK	DO	DO
OK	ANYTHING	ANYTHING
OK	ABOUT	ABOUT
DEL	IT	****
OK	IT	IT
OK	CAN	CAN
OK	BE	BE
OK	VERY	VERY
SUB	ANONYMOUS	AMONG
OK	AND	AND
DEL	SOME	****
DEL	OF	****
SUB	YOU	SOMEBODY
OK	MAY	MAY
OK	CHOOSE	CHOOSE
INS	****	TO
OK	TO	TO
OK	PURSUE	PURSUE
OK	IT	IT
OK	THAT	THAT
OK	WAY	WAY
DEL	AND	****
OK	THAT'S	THAT'S
SUB	TOTALLY	OH
SUB	FINE	REALLY
SUB	BUT	FINE
OK	WHAT	WHAT
OK	I	I
OK	WOULD	WOULD
OK	SUGGEST	SUGGEST
OK	YOU	YOU
OK	DO	DO
SUB	IS	IT'S
OK	ESTABLISH	ESTABLISH
OK	SOME	SOME
SUB	CONTACT	CONTRACTS
OK	WITH	WITH
OK	US	US
SUB	EITHER	EVEN
OK	WITH	WITH
OK	ME	ME
SUB	OR	I
SUB	WITH	WANT
OK	ANY	ANY
OK	OF	OF
OK	THE	THE
OK	TEACHING	TEACHING
OK	FELLOWS	FELLOWS
OK	AND	AND
OK	I'LL	I'LL
OK	INTRODUCE	INTRODUCE
DEL	THE	****
SUB	TEACHING	IT
SUB	FELLOWS	OUTS
SUB	SOMETIME	FINE
OK	NEXT	NEXT
OK	WEEK	WEEK
DEL	YOU	****
DEL	COULD	****
SUB	TALK	AH
SUB	TO	THE
SUB	US	TALKED
SUB	AT	WAS
OK	THE	THE
OK	BEGINNING	BEGINNING
OK	OR	OR
DEL	AT	****
DEL	THE	****
OK	END	END
OK	OF	OF
SUB	CLASS	GLASS
OK	UNLESS	UNLESS
DEL	THERE	****
SUB	ARE	FOR
OK	SPECIAL	SPECIAL
OK	CIRCUMSTANCES	CIRCUMSTANCES
OK	I	I
DEL	ALWAYS	****
DEL	TRY	****
SUB	TO	WAS
SUB	COME	PRIVATE
OK	AT	AT
OK	LEAST	LEAST
OK	TEN	TEN
OK	MINUTES	MINUTES
OK	EARLY	EARLY
DEL	AND	****
OK	I	I
SUB	AM	PLANTED
SUB	WILLING	BLOOD
OK	TO	TO
OK	STAY	STAY
SUB	LATE	AWAKE
SUB	TO	DROP
SUB	TALK	THE
SUB	TO	BALL
SUB	PEOPLE	BOB
OK	YOU	YOU
OK	COULD	COULD
OK	COME	COME
OK	BY	BY
OK	DURING	DURING
DEL	MY	****
OK	OFFICE	OFFICE
OK	HOURS	HOURS
DEL	WHICH	****
DEL	ARE	****
DEL	ON	****
DEL	THE	****
DEL	SYLLABUS	****
DEL	AND	****
DEL	YOU	****
DEL	COULD	****
SUB	SEND	DRAWN
SUB	ME	SOLACE
SUB	E-MAIL	IT
SUB	AND	IS
SUB	SET	AN
SUB	UP	EMAIL
SUB	AN	UNSETTLED
SUB	APPOINTMENT	COIN
OK	I'M	I'M
OK	VERY	VERY
OK	WILLING	WILLING
OK	TO	TO
OK	TALK	TALK
OK	TO	TO
OK	STUDENTS	STUDENTS
INS	****	OF
SUB	ABOUT	A
OK	INTELLECTUAL	INTELLECTUAL
OK	IDEAS	IDEAS
SUB	ABOUT	THE
SUB	COURSE	COURT
OK	PROBLEMS	PROBLEMS
OK	AND	AND
OK	SO	SO
DEL	ON	****
SUB	AND	WHAT
OK	IF	IF
OK	YOU	YOU
OK	SEE	SEE
SUB	ME	THE
SUB	AT	UH
OK	SOME	SOME
OK	POINT	POINT
OK	JUST	JUST
OK	ON	ON
OK	CAMPUS	CAMPUS
DEL	YOU	****
SUB	COULD	ON
SUB	INTRODUCE	THE
SUB	YOURSELF	BEEN
SUB	AND	INTRODUCED
SUB	I'D	I
OK	LIKE	LIKE
DEL	TO	****
SUB	MEET	ME
OK	PEOPLE	PEOPLE
OK	FROM	FROM
OK	THIS	THIS
OK	CLASS	CLASS
INS	****	AH
OK	SO	SO
OK	AGAIN	AGAIN
OK	I	I
DEL	WANT	****
SUB	TO	WANNA
OK	STRESS	STRESS
OK	YOU	YOU
OK	HAVE	HAVE
DEL	THE	****
SUB	OPTION	GOT
SUB	OF	TO
SUB	STAYING	STAY
OK	ANONYMOUS	ANONYMOUS
DEL	IN	****
DEL	THIS	****
DEL	CLASS	****
DEL	BUT	****
DEL	YOU	****
DEL	ALSO	****
SUB	HAVE	IS
SUB	THE	BLAST
SUB	OPTION	WE
SUB	OF	WAS
SUB	SEEKING	ADOPTED
SUB	OUT	SEE
SUB	AND	THEO
OK	MAKING	MAKING
OK	SOME	SOME
OK	SORT	SORT
OK	OF	OF
OK	CONTACT	CONTACT
SUB	WITH	THOUGHTS
SUB	US	LOOK
SUB	OKAY	AT
OK	THAT'S	THAT'S
OK	THE	THE
OK	FORMAL	FORMAL
SUB	STUFF	STOP
OK	OF	OF
DEL	THE	****
OK	COURSE	COURSE
SUB	WHAT'S	WHAT
SUB	THIS	DISCOURSE
SUB	COURSE	ABOUT
SUB	ABOUT	I
SUB	UNLIKE	LIKE
OK	A	A
OK	LOT	LOT
OK	OF	OF
OK	OTHER	OTHER
OK	COURSES	COURSES
OK	SOME	SOME
OK	PEOPLE	PEOPLE
DEL	COME	****
DEL	TO	****
SUB	INTRO	COMPUTER
OK	PSYCHOLOGY	PSYCHOLOGY
OK	WITH	WITH
OK	SOME	SOME
OK	UNUSUAL	UNUSUAL
INS	****	MOTIVATION
SUB	MOTIVATIONS	HUH
