OP | REF | HYP
OK | volume | volume
OK | of | of
OK | the | the
OK | air | air
OK | into | into
OK | which | which
OK | the | the
OK | pollution | pollution
OK | from | from
OK | my | my
SUB | little | will
OK | power | power
OK | plant | plant
OK | here | here
SUB | has | is
OK | reached | reached
OK | the | the
OK | volume | volume
OK | into | into
OK | which | which
OK | the | the
INS | **** | substance
OK | substance | substance
OK | has | has
OK | mixed | mixed
SUB | is | with
SUB | then | them
SUB | the | a
OK | product | product
OK | of | of
OK | the | the
OK | two | two
OK | horizontal | horizontal
OK | dimensions | dimensions
INS | **** | el
INS | **** | won
SUB | l~1~ | in
SUB | and | hell
SUB | l~2~ | too
OK | and | and
OK | the | the
OK | depth | depth
OK | of | of
OK | the | the
OK | layer | layer
OK | that's | that's
DEL | the | ****
SUB | depth | a
SUB | up | duck
SUB | to | copper
OK | the | the
SUB | inversion | version
OK | the | the
OK | mass | mass
OK | of | of
OK | the | the
OK | air | air
OK | into | into
SUB | which | words
SUB | the | of
SUB | pollutant | loomed
SUB | has | as
OK | mixed | mixed
OK | is | is
SUB | just | this
OK | the | the
OK | product | product
OK | of | of
OK | the | the
OK | air | air
OK | density | density
OK | and | and
OK | that | that
SUB | volume | bombing
OK | and | and
OK | that's | that's
DEL | going | ****
DEL | to | ****
SUB | have | gonna
OK | units | units
OK | of | of
SUB | kilograms | children's
OK | so | so
OK | here | here
OK | comes | comes
OK | a | a
OK | very | very
OK | simple | simple
OK | example | example
OK | let's | let's
SUB | that | say
OK | over | over
OK | some | some
OK | period | period
OK | of | of
OK | time | time
OK | we | we
OK | put | put
OK | in | in
SUB | 40 | fourteen
SUB | metric | met
SUB | tons | jerk
SUB | of | tom's
SUB | a | although
SUB | pollutant | polluted
OK | maybe | maybe
OK | it's | it's
SUB | small | wall
OK | particles | particles
DEL | for | ****
SUB | example | friction
OK | or | or
DEL | a | ****
OK | gas | gas
OK | a | a
SUB | metric | magic
SUB | ton | on
SUB | you | your
SUB | recall | call
OK | is | is
OK | a | a
OK | thousand | thousand
SUB | kilograms | telegram
SUB | so | slung
SUB | i've | brick
SUB | written | mat
SUB | that | in
SUB | in | a
SUB | si | psi
OK | units | units
OK | as | as
INS | **** | forty
INS | **** | times
INS | **** | ten
INS | **** | and
SUB | 40x10^3^ | three
SUB | kilograms | children
SUB | that's | shh
SUB | the | that's
SUB | amount | a
SUB | of | mater
SUB | pollutant | polluted
SUB | we've | with
SUB | put | what
SUB | in | a
SUB | that's | mess
OK | quite | quite
OK | a | a
OK | bit | bit
OK | but | but
SUB | it | in
OK | depends | depends
OK | on | on
OK | the | the
OK | problem | problem
OK | we're | we're
OK | working | working
DEL | on | ****
SUB | let's | but
OK | say | say
OK | that | that
OK | the | the
INS | **** | hors
SUB | horizontal | i'll
OK | dimensions | dimensions
OK | of | of
OK | the | the
OK | valley | valley
OK | are | are
SUB | 10 | ten
OK | kilometers | kilometers
OK | in | in
OK | one | one
OK | dimension | dimension
INS | **** | ten
SUB | and | kilometers
SUB | 10 | in
SUB | kilometers | the
OK | in | in
OK | the | the
OK | other | other
OK | dimension | dimension
OK | and | and
OK | that | that
OK | the | the
SUB | depth | doubts
SUB | to | that
SUB | the | in
SUB | inversion | version
SUB | is | of
OK | one | one
OK | kilometer | kilometer
OK | so | so
INS | **** | than
INS | **** | a
SUB | then | hobby
OK | the | the
INS | **** | o.
OK | concentration | concentration
OK | of | of
OK | the | the
SUB | pollutant | polluted
OK | is | is
OK | going | going
OK | to | to
OK | be | be
INS | **** | a
OK | the | the
OK | mass | mass
OK | of | of
SUB | the | a
SUB | pollutant | polluted
OK | divided | divided
OK | by | by
OK | the | the
SUB | mass | mess
OK | of | of
OK | the | the
SUB | air | error
OK | into | into
OK | which | which
OK | it | it
DEL | has | ****
SUB | mixed | as
SUB | i | mix
SUB | didn't | and
SUB | put | what
OK | that | that
OK | definition | definition
DEL | up | ****
SUB | here | appear
OK | but | but
OK | be | be
OK | sure | sure
OK | you | you
OK | get | get
OK | that | that
DEL | in | ****
DEL | your | ****
DEL | notes | ****
SUB | we're | unannounced
SUB | defining | fine
SUB | concentration | concert
SUB | in | from
OK | this | this
OK | case | case
OK | as | as
OK | a | a
OK | mass | mass
OK | ratio | ratio
OK | the | the
OK | mass | mass
OK | of | of
SUB | pollutant | polluted
OK | that | that
OK | you've | you've
OK | added | added
OK | to | to
OK | the | the
OK | atmosphere | atmosphere
OK | divided | divided
OK | by | by
OK | the | the
OK | mass | mass
OK | of | of
OK | the | the
OK | air | air
OK | into | into
OK | which | which
OK | it | it
INS | **** | as
INS | **** | good
SUB | has | as
SUB | mixed | mix
OK | so | so
OK | here's | here's
INS | **** | a
SUB | the | formal
SUB | formula | or
SUB | then | palm
OK | there's | there's
SUB | the | a
OK | mass | mass
OK | of | of
SUB | pollutant | polluted
OK | that | that
OK | we | we
OK | added | added
INS | **** | forty
INS | **** | times
INS | **** | in
INS | **** | the
SUB | 40x10^3^ | three
SUB | kilograms | children's
OK | and | and
OK | here's | here's
SUB | the | a
OK | mass | mass
OK | of | of
OK | the | the
OK | air | air
OK | into | into
OK | which | which
DEL | it | ****
SUB | mixed | next
OK | it's | it's
OK | the | the
OK | air | air
OK | density | density
INS | **** | while
SUB | multiplied | clyde
OK | times | times
OK | the | the
OK | volume | volume
OK | of | of
SUB | the | new
SUB | air | york
SUB | l~1~ | al
SUB | l~2~ | want
SUB | times | all
SUB | d | too
SUB | so | gandhi
SUB | it's | swords
SUB | 10 | ten
OK | kilometers | kilometers
SUB | expressed | aches
SUB | in | preston
OK | meters | meters
SUB | 10 | ten
OK | kilometers | kilometers
OK | again | again
OK | and | and
OK | one | one
OK | kilometer | kilometer
DEL | expressed | ****
SUB | in | two
OK | meters | meters
OK | you | you
OK | work | work
OK | all | all
DEL | that | ****
SUB | out | about
SUB | you | the
SUB | get | its
SUB | 0 | or
SUB | 4x10^-6^ | point
SUB | kilograms | four
SUB | per | punch
SUB | kilogram | tended
SUB | you | to
SUB | could | sex
SUB | cancel | keller
SUB | it | grams
SUB | out | per
SUB | and | telegram
SUB | say | could
SUB | it | just
SUB | has | love
SUB | no | salesman
OK | units | units
OK | that's | that's
OK | fine | fine
OK | or | or
OK | you | you
SUB | could | can
OK | leave | leave
OK | it | it
OK | as | as
INS | **** | a
SUB | kilograms | telegram
SUB | per | for
SUB | kilogram | telegram
OK | just | just
OK | to | to
OK | remind | remind
OK | you | you
OK | what | what
OK | it | it
OK | is | is
DEL | it's | ****
DEL | a | ****
SUB | kilogram | telegram
OK | of | of
SUB | pollutant | pollution
OK | mixed | mixed
OK | into | into
OK | a | a
OK | certain | certain
OK | number | number
INS | **** | killer
INS | **** | grams
SUB | of | her
SUB | kilograms | all
OK | of | of
OK | the | the
OK | air | air
SUB | into | under
OK | which | which
OK | you | you
SUB | mixed | next
SUB | it | soap
SUB | so | pomp
OK | since | since
OK | this | this
OK | is | is
INS | **** | tender
INS | **** | minus
SUB | 10^-6^ | six
OK | and | and
OK | it's | it's
OK | a | a
OK | mass | mass
OK | ratio | ratio
OK | i | i
OK | could | could
OK | also | also
OK | write | write
OK | this | this
INS | **** | a
INS | **** | zero
INS | **** | point
INS | **** | four
SUB | as | p.
SUB | 0 | p.
SUB | 4 | m.
SUB | ppmm | ham
OK | parts | parts
OK | per | per
OK | million | million
OK | by | by
DEL | mass | ****
SUB | the | mess
OK | per | per
OK | million | million
INS | **** | to
SUB | the | p
SUB | pm | m
OK | there | there
INS | **** | first
INS | **** | of
SUB | refers | the
SUB | to | time
OK | the | the
INS | **** | mind
INS | **** | of
SUB | 10^-6^ | sex
OK | and | and
OK | the | the
OK | last | last
INS | **** | put
SUB | m | them
OK | there | there
SUB | refers | first
OK | to | to
OK | the | the
OK | fact | fact
OK | that | that
OK | it's | it's
OK | a | a
OK | mass | mass
DEL | ratio | ****
DEL | question | ****
SUB | yes | a
SUB | student | mass
SUB | why | ridge
SUB | is | question
OK | it | it
DEL | kilograms | ****
DEL | of | ****
DEL | pollutant | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
OK | well | well
OK | because | because
OK | i've | i've
OK | got | got
INS | **** | kill
INS | **** | i've
SUB | the | got
SUB | kilograms | particular
SUB | here | grams
SUB | but | or
SUB | it's | particular
SUB | kilograms | grams
OK | of | of
SUB | pollutant | polluted
OK | divided | divided
OK | by | by
OK | the | the
INS | **** | killer
SUB | kilograms | grams
OK | of | of
SUB | air | hair
SUB | into | under
OK | which | which
OK | it's | it's
OK | been | been
OK | mixed | mixed
DEL | student | ****
DEL | so | ****
DEL | they | ****
DEL | don't | ****
DEL | cancel | ****
DEL | out | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
OK | they | they
OK | could | could
DEL | that's | ****
DEL | what | ****
SUB | i | apply
SUB | mentioned | magic
OK | you | you
OK | could | could
SUB | cancel | just
SUB | that | lot
SUB | out | all
OK | i | i
OK | wouldn't | wouldn't
OK | mind | mind
DEL | it | ****
SUB | at | that
OK | all | all
DEL | if | ****
DEL | you | ****
SUB | did | dead
OK | but | but
OK | i | i
OK | sometimes | sometimes
OK | like | like
OK | to | to
OK | keep | keep
OK | it | it
OK | there | there
DEL | just | ****
OK | to | to
OK | remind | remind
OK | myself | myself
OK | of | of
OK | what | what
DEL | that | ****
SUB | definition | the
SUB | is | definitions
OK | either | either
OK | way | way
OK | would | would
OK | be | be
SUB | fine | fung
SUB | it'd | the
SUB | be | beef
OK | perfectly | perfectly
OK | fine | fine
OK | to | to
OK | cancel | cancel
SUB | that | about
SUB | out | nor
SUB | normally | my
OK | concentration | concentration
DEL | is | ****
DEL | considered | ****
SUB | to | sir
SUB | be | did
OK | a | a
OK | quantity | quantity
INS | **** | of
SUB | that | as
OK | has | has
OK | no | no
OK | units | units
OK | but | but
OK | sometimes | sometimes
DEL | i | ****
SUB | like | oleg
OK | to | to
OK | keep | keep
DEL | it | ****
DEL | there | ****
DEL | just | ****
DEL | as | ****
DEL | a | ****
DEL | reminder | ****
DEL | yeah | ****
DEL | student | ****
DEL | why | ****
DEL | are | ****
DEL | the | ****
DEL | tens | ****
DEL | raised | ****
DEL | to | ****
DEL | the | ****
DEL | fourth | ****
DEL | power | ****
DEL | oh | ****
DEL | it | ****
DEL | s | ****
DEL | meters | ****
DEL | ok | ****
SUB | professor | their
SUB | ron | distance
SUB | smith | remind
SUB | where | me
SUB | are | up
SUB | you | we're
OK | looking | looking
DEL | student | ****
DEL | the | ****
DEL | concentration | ****
DEL | calculation | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
SUB | yeah | yep
OK | well | well
OK | that's | that's
OK | right | right
OK | so | so
OK | this | this
OK | was | was
SUB | 10 | ten
OK | kilometers | kilometers
SUB | and | in
OK | a | a
DEL | kilometer | ****
SUB | is | kilometers
OK | a | a
DEL | 1 | ****
SUB | 000 | thousand
OK | meters | meters
OK | so | so
OK | the | the
SUB | 10 | ten
OK | times | times
OK | the | the
DEL | 3 | ****
DEL | gives | ****
DEL | 4 | ****
DEL | 10^4^ | ****
SUB | meters | three
SUB | yeah | gifts
SUB | student | for
SUB | what | and
SUB | is | forth
SUB | l~1~ | meters
SUB | and | yep
SUB | l~2~ | ah
SUB | again | oh
SUB | professor | or
SUB | ron | as
SUB | smith | i
SUB | the | own
SUB | horizontal | a
SUB | dimensions | mentions
OK | of | of
OK | the | the
OK | valley | valley
DEL | student | ****
DEL | oh | ****
DEL | so | ****
DEL | the | ****
DEL | area | ****
DEL | professor | ****
DEL | ron | ****
SUB | smith | it
OK | well | well
OK | the | the
OK | product | product
OK | is | is
INS | **** | or
SUB | the | isn't
SUB | area | he
SUB | of | his
SUB | the | imperial
OK | valley | valley
OK | but | but
OK | the | the
INS | **** | l.
SUB | l~1~ | l.
SUB | is | won
SUB | the | as
SUB | dimension | a
SUB | in | dimension
SUB | one | c'mon
OK | direction | direction
SUB | l~2~ | al
SUB | is | tours
SUB | the | a
OK | dimension | dimension
OK | in | in
OK | the | the
OK | other | other
DEL | direction | ****
DEL | if | ****
DEL | you | ****
SUB | want | she
SUB | to | won
SUB | know | all
OK | the | the
OK | base | base
OK | area | area
OK | of | of
OK | the | the
OK | valley | valley
SUB | that's | it's
SUB | l~1~ | all
SUB | times | one
SUB | l~2~ | consultant
OK | other | other
OK | questions | questions
OK | yes | yes
DEL | student | ****
DEL | where | ****
DEL | did | ****
DEL | you | ****
DEL | get | ****
DEL | 10^3^ | ****
DEL | professor | ****
DEL | ron | ****
DEL | smith | ****
DEL | 10^3^ | ****
DEL | student | ****
DEL | it | ****
DEL | s | ****
DEL | the | ****
SUB | mass | end
OK | of | of
DEL | the | ****
DEL | air | ****
DEL | below | ****
OK | the | the
DEL | inversion | ****
SUB | professor | fair
SUB | ron | eye
SUB | smith | wall
OK | well | well
DEL | the | ****
DEL | mass | ****
DEL | of | ****
SUB | the | massive
OK | air | air
OK | below | below
OK | the | the
SUB | inversion | version
OK | is | is
OK | what's | what's
OK | in | in
OK | the | the
SUB | denominator | the
SUB | here | monitor
OK | it's | it's
OK | the | the
OK | density | density
OK | of | of
OK | the | the
OK | air | air
OK | times | times
OK | the | the
OK | volume | volume
OK | of | of
OK | the | the
SUB | air | year
OK | and | and
OK | the | the
SUB | volume | vine
SUB | was | as
OK | given | given
OK | by | by
OK | that | that
OK | product | product
OK | which | which
OK | you | you
OK | see | see
OK | written | written
OK | out | out
OK | here | here
SUB | yeah | yep
OK | it's | it's
OK | good | good
OK | to | to
OK | get | get
SUB | this | those
SUB | one | are
OK | really | really
OK | clear | clear
DEL | because | ****
DEL | the | ****
DEL | next | ****
DEL | one | ****
DEL | is | ****
DEL | even | ****
DEL | tougher | ****
DEL | so | ****
DEL | any | ****
DEL | other | ****
DEL | questions | ****
DEL | on | ****
DEL | this | ****
DEL | one | ****
DEL | ok | ****
SUB | chapter | doesn't
SUB | 2 | actually
SUB | mixing | been
SUB | in | proper
SUB | the | poets
SUB | atmosphere | another
SUB | unconfined | question
SUB | mixing | from
SUB | 00 | a
SUB | 07 | swan
SUB | 22 | okay
OK | so | so
OK | now | now
OK | we | we
OK | move | move
SUB | to | the
OK | case | case
SUB | two | through
OK | which | which
OK | is | is
INS | **** | on
SUB | unconfined | confided
SUB | mixing | nixon
OK | we | we
OK | don't | don't
OK | have | have
OK | this | this
SUB | predetermined | pre
SUB | valley | determined
SUB | in | valley
SUB | a | and
SUB | nice | bison
SUB | inversion | version
OK | in | in
OK | which | which
OK | we | we
OK | know | know
OK | things | things
OK | are | are
DEL | going | ****
SUB | to | gonna
OK | be | be
OK | trapped | trapped
INS | **** | so
OK | we | we
INS | **** | all
OK | know | know
INS | **** | exactly
INS | **** | on
SUB | how | when
SUB | much | ahmed
SUB | pollutant | couldn't
OK | we're | we're
OK | putting | putting
SUB | in | n.
OK | i'm | i'm
OK | going | going
OK | to | to
DEL | use | ****
SUB | the | uses
OK | same | same
DEL | value | ****
SUB | as | values
OK | i | i
OK | did | did
OK | here | here
OK | but | but
OK | we | we
OK | don't | don't
OK | know | know
OK | into | into
OK | what | what
OK | volume | volume
OK | will | will
OK | it | it
OK | be | be
SUB | mixed | next
OK | but | but
OK | we're | we're
DEL | going | ****
SUB | to | who
OK | assume | assume
OK | that | that
OK | there's | there's
OK | a | a
OK | certain | certain
DEL | amount | ****
SUB | of | marv
OK | turbulence | turbulence
OK | in | in
OK | this | this
DEL | atmosphere | ****
SUB | the | that
SUB | air | fear
SUB | is | there's
OK | kind | kind
OK | of | of
OK | mixing | mixing
OK | and | and
OK | spinning | spinning
INS | **** | him
OK | and | and
SUB | moving | home
SUB | around | moving
SUB | a | arrival
SUB | little | that
SUB | bit | and
SUB | and | who
OK | we're | we're
OK | going | going
OK | to | to
SUB | define | find
OK | something | something
OK | called | called
DEL | the | ****
SUB | dispersion | us
SUB | coefficient | persian
SUB | which | cultures
SUB | will | she'll
OK | help | help
OK | us | us
OK | decide | decide
OK | how | how
OK | fast | fast
INS | **** | the
INS | **** | vat
SUB | that | a
OK | added | added
OK | material | material
OK | will | will
OK | diffuse | diffuse
OK | or | or
OK | will | will
INS | **** | does
SUB | disperse | first
OK | into | into
OK | the | the
OK | atmosphere | atmosphere
DEL | i'll | ****
OK | call | call
SUB | it | a
OK | capital | capital
SUB | k | k.
OK | and | and
DEL | it | ****
SUB | has | as
OK | units | units
OK | of | of
OK | meters | meters
SUB | squared | where'd
OK | per | per
OK | second | second
OK | and | and
OK | you | you
OK | can | can
OK | estimate | estimate
OK | a | a
OK | magnitude | magnitude
OK | for | for
OK | that | that
OK | quantity | quantity
INS | **** | whoa
OK | in | in
OK | the | the
SUB | following | fallen
OK | way | way
OK | you | you
OK | can | can
OK | take | take
DEL | a | ****
OK | typical | typical
OK | turbulent | turbulent
OK | velocity | velocity
SUB | let's | but
OK | say | say
DEL | there | ****
SUB | are | their
SUB | eddies | eddie's
OK | in | in
OK | this | this
OK | room | room
OK | that | that
OK | are | are
OK | turning | turning
OK | over | over
DEL | and | ****
SUB | that | annette
OK | air | air
OK | speed | speed
SUB | has | as
OK | a | a
OK | certain | certain
DEL | value | ****
SUB | let's | fellas
SUB | say | are
OK | one | one
SUB | meter | year
OK | per | per
OK | second | second
OK | and | and
SUB | a | the
SUB | typical | o.
SUB | eddy | any
OK | size | size
OK | maybe | maybe
DEL | the | ****
SUB | eddies | a
SUB | are | czar
OK | filling | filling
OK | the | the
OK | space | space
OK | between | between
OK | the | the
OK | floor | floor
OK | and | and
INS | **** | a
SUB | the | seal
SUB | ceiling | and
OK | that's | that's
OK | about | about
OK | four | four
OK | meters | meters
INS | **** | hot
OK | so | so
OK | if | if
SUB | that | i
OK | were | were
OK | the | the
OK | case | case
SUB | if | of
SUB | the | a
OK | typical | typical
OK | speed | speed
OK | were | were
OK | one | one
OK | meter | meter
OK | per | per
OK | second | second
DEL | and | ****
SUB | the | any
SUB | eddy | any
OK | size | size
DEL | were | ****
OK | four | four
OK | meters | meters
OK | that | that
OK | would | would
OK | give | give
OK | a | a
INS | **** | dispersed
SUB | dispersion | the
SUB | coefficient | cooperation
OK | of | of
SUB | four | for
SUB | meters | we're
OK | squared | squared
OK | per | per
OK | second | second
DEL | it's | ****
DEL | simply | ****
DEL | that | ****
SUB | product | subdued
SUB | see | upright
SUB | that'll | get
SUB | give | out
SUB | you | given
OK | the | the
OK | right | right
OK | units | units
DEL | that | ****
SUB | has | as
OK | meters | meters
OK | per | per
OK | second | second
SUB | this | the
SUB | has | says
OK | meters | meters
OK | and | and
OK | so | so
OK | that's | that's
DEL | going | ****
SUB | to | gonna
OK | give | give
SUB | meters | me
SUB | squared | your
SUB | per | square
SUB | second | percent
SUB | when | a
SUB | you | month
SUB | take | that
SUB | that | the
OK | product | product
OK | so | so
OK | this | this
OK | is | is
OK | sometimes | sometimes
OK | very | very
OK | difficult | difficult
OK | to | to
OK | determine | determine
OK | what | what
OK | that | that
SUB | dispersion | this
SUB | coefficient | person
SUB | is | corporation
SUB | going | is
SUB | to | gonna
OK | be | be
OK | for | for
DEL | a | ****
OK | particular | particular
DEL | atmospheric | ****
DEL | application | ****
OK | but | but
OK | you | you
OK | can | can
OK | get | get
OK | a | a
INS | **** | raw
INS | **** | fasting
SUB | rough | month
SUB | estimate | bob
OK | if | if
OK | you | you
OK | can | can
OK | estimate | estimate
OK | the | the
OK | size | size
OK | of | of
SUB | the | a
SUB | eddies | eddie's
OK | and | and
OK | the | the
OK | speed | speed
SUB | at | in
OK | which | which
OK | those | those
INS | **** | eddie's
SUB | eddies | are
OK | are | are
OK | turning | turning
OK | over | over
DEL | in | ****
DEL | this | ****
SUB | turbulent | disturbing
SUB | atmosphere | mr
OK | let's | let's
DEL | say | ****
SUB | somehow | i
SUB | we | somali
OK | know | know
OK | what | what
OK | that | that
SUB | is | it
SUB | then | that
OK | how | how
OK | fast | fast
OK | will | will
OK | that | that
OK | mix | mix
OK | things | things
OK | into | into
OK | the | the
OK | atmosphere | atmosphere
OK | if | if
OK | i | i
OK | have | have
OK | a | a
OK | point | point
OK | source | source
OK | sitting | sitting
OK | on | on
OK | the | the
OK | ground | ground
INS | **** | a
INS | **** | lot
OK | one | one
OK | direction | direction
OK | is | is
OK | as | as
OK | good | good
OK | as | as
OK | any | any
OK | other | other
SUB | direction | directions
SUB | it's | coming
SUB | going | next
OK | to | to
SUB | mix | laughed
SUB | to | so
OK | the | the
DEL | left | ****
DEL | to | ****
SUB | the | right
SUB | right | hand
SUB | and | opt
SUB | up | cause
OK | equally | equally
OK | fast | fast
OK | so | so
OK | it's | it's
DEL | going | ****
SUB | to | garb
OK | produce | produce
OK | a | a
OK | kind | kind
OK | of | of
SUB | hemisphere | woe
SUB | of | hemisphere
SUB | pollutant | polluted
OK | a | a
OK | half | half
OK | sphere | sphere
DEL | that's | ****
OK | growing | growing
OK | in | in
OK | time | time
OK | as | as
SUB | that | a
OK | material | material
INS | **** | diffuse
INS | **** | is
INS | **** | our
INS | **** | word
INS | **** | and
INS | **** | all
SUB | diffuses | our
SUB | outward | word
OK | and | and
OK | upward | upward
INS | **** | hum
OK | and | and
OK | the | the
OK | radius | radius
OK | of | of
OK | that | that
OK | hemisphere | hemisphere
OK | is | is
OK | given | given
OK | by | by
OK | this | this
DEL | formula | ****
SUB | the | one
SUB | square | where
SUB | root | route
SUB | of | lovely
SUB | the | persian
SUB | dispersion | gulf
SUB | coefficient | version
OK | times | times
OK | time | time
OK | so | so
OK | the | the
OK | longer | longer
OK | you | you
OK | wait | wait
OK | the | the
OK | larger | larger
OK | that | that
OK | hemisphere | hemisphere
OK | will | will
OK | be | be
OK | and | and
OK | of | of
OK | course | course
OK | the | the
OK | more | more
SUB | dilute | diluted
SUB | will | we'll
OK | be | be
OK | the | the
SUB | pollutant | poland
OK | because | because
DEL | you've | ****
DEL | put | ****
DEL | a | ****
DEL | fixed | ****
DEL | amount | ****
DEL | of | ****
SUB | pollutant | tomato
SUB | in | polluted
SUB | unless | and
SUB | you're | muster
OK | continuing | continuing
DEL | to | ****
DEL | add | ****
SUB | it | dead
OK | i'm | i'm
OK | assuming | assuming
DEL | the | ****
DEL | problem | ****
SUB | i'm | a
SUB | going | prominent
SUB | to | honor
SUB | work | worked
OK | out | out
OK | here | here
DEL | you | ****
